MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Education,Marital_Status,Country,Kidhome,Teenhome,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain
189,104,379,111,189,218,4,4,6,Graduation,Divorced,SP,0,0,0,0,0,0,0,1,0
464,5,64,7,0,37,7,3,7,Graduation,Single,CA,0,0,0,0,0,0,1,1,0
134,11,59,15,2,30,3,2,5,Graduation,Married,US,0,1,0,0,0,0,0,0,0
10,0,1,0,0,0,1,0,2,Graduation,Together,AUS,1,1,0,0,0,0,0,0,0
6,16,24,11,0,34,3,1,2,Graduation,Single,SP,1,0,1,0,0,0,0,1,0
336,130,411,240,32,43,4,7,5,PhD,Single,SP,0,0,0,0,0,0,0,1,0
769,80,252,15,34,65,10,10,7,2n Cycle,Married,GER,0,0,1,0,0,0,0,1,0
78,0,11,0,0,7,2,1,3,Graduation,Together,SP,0,1,0,0,0,0,0,0,0
384,0,102,21,32,5,6,2,9,PhD,Married,US,0,1,0,0,0,0,0,0,0
384,0,102,21,32,5,6,2,9,PhD,Married,IND,0,1,0,0,0,0,0,0,0
450,26,535,73,98,26,5,6,10,2n Cycle,Married,US,0,0,0,0,0,0,0,0,0
140,4,61,0,13,4,3,1,6,Master,Together,SP,1,0,0,0,0,0,0,0,0
431,82,441,80,20,102,3,6,6,PhD,Widow,IND,0,0,0,0,0,0,0,1,0
3,10,8,3,16,32,1,1,2,Graduation,Married,CA,0,0,0,0,0,0,0,0,0
16,4,12,2,4,321,25,0,0,Graduation,Married,SP,0,1,0,0,0,0,0,0,0
63,6,57,13,13,22,2,1,5,Graduation,Married,SP,1,1,0,0,0,0,0,0,0
63,6,57,13,13,22,2,1,5,Graduation,Married,SP,1,1,0,0,0,0,0,1,0
18,0,2,0,0,2,1,0,3,PhD,Divorced,SP,0,1,0,0,0,0,0,0,0
53,1,5,2,1,10,2,0,3,2n Cycle,Single,CA,0,1,0,0,0,0,0,0,0
5,0,3,0,0,5,1,0,2,Master,Single,CA,2,1,0,0,0,0,0,0,0
213,9,76,4,3,30,5,2,5,Master,Together,SA,0,1,0,0,0,0,0,0,0
275,11,68,25,7,7,5,1,8,Master,Single,IND,0,1,0,0,0,0,0,0,0
40,2,23,0,4,23,2,1,3,Master,Married,GER,1,0,0,0,0,0,0,0,0
308,0,73,0,0,23,5,1,8,PhD,Married,SP,1,0,0,0,0,0,0,0,0
266,21,300,65,8,44,8,8,6,Graduation,Single,IND,0,1,0,0,0,0,0,0,0
80,1,37,0,1,3,2,1,4,Master,Single,SP,0,1,0,0,0,0,0,0,0
454,0,171,8,19,32,9,2,8,Graduation,Together,SP,1,1,0,0,0,0,0,0,0
454,0,171,8,19,32,9,2,8,Graduation,Together,SP,1,1,0,0,0,0,0,0,0
27,0,12,0,1,5,2,0,3,PhD,Widow,SP,1,1,0,0,0,0,0,0,0
184,174,256,50,30,32,5,4,6,Graduation,Single,CA,0,0,0,0,0,0,0,0,0
155,7,80,13,7,10,5,1,5,PhD,Divorced,SP,1,1,0,0,0,0,0,0,0
423,42,706,73,197,197,4,8,9,Graduation,Married,CA,0,0,0,0,0,0,0,0,0
7,0,1,0,0,0,1,0,2,PhD,Together,AUS,2,1,0,0,0,0,0,0,0
408,0,21,0,0,17,7,1,7,PhD,Married,IND,0,1,0,1,0,1,0,1,0
1,12,9,0,14,7,2,0,3,Graduation,Married,SP,0,0,0,0,0,0,0,0,0
1285,21,449,106,20,20,4,3,4,PhD,Single,SP,0,0,0,0,1,1,0,1,0
71,22,112,138,89,29,2,3,13,2n Cycle,Married,SP,0,0,0,0,0,0,0,0,0
7,1,6,0,3,3,0,0,3,Master,Divorced,SA,0,0,0,0,0,0,0,0,0
1248,16,349,43,16,16,2,4,9,PhD,Single,SP,0,0,0,1,1,1,1,1,0
378,0,189,97,172,172,5,5,12,Graduation,Married,SP,0,1,0,0,0,0,0,0,0
12,2,17,6,1,10,2,0,3,Graduation,Single,CA,1,0,0,0,0,0,0,1,0
1200,0,204,38,29,14,11,9,12,PhD,Married,SP,0,1,0,0,0,1,0,0,0
709,45,115,30,160,45,8,2,5,2n Cycle,Single,SP,0,0,0,0,0,1,0,1,0
94,1,33,13,12,12,4,0,4,Graduation,Single,SP,1,0,0,0,0,0,0,0,0
4,2,12,7,5,26,1,2,2,2n Cycle,Divorced,SP,1,1,0,0,0,0,0,1,0
539,169,816,20,0,30,4,5,4,Graduation,Together,SP,0,0,0,0,0,0,0,1,0
13,3,6,6,5,6,1,0,3,Graduation,Married,SP,1,0,0,0,0,0,0,0,0
670,9,249,0,28,9,5,4,5,Master,Married,AUS,0,1,0,0,0,0,0,0,0
158,35,179,0,0,125,7,2,8,Graduation,Divorced,GER,0,1,1,0,0,0,0,1,0
283,10,38,0,13,27,7,2,4,Graduation,Single,US,0,1,0,0,0,0,0,0,0
13,3,8,7,4,16,1,0,3,2n Cycle,Married,GER,1,0,0,0,0,0,0,1,0
496,36,460,189,60,12,4,8,6,Master,Married,GER,0,0,0,0,0,0,0,0,0
12,0,4,0,0,1,1,0,2,2n Cycle,Single,SA,2,1,0,0,0,0,0,0,0
292,51,981,224,23,17,4,6,6,Graduation,Married,SP,0,0,0,0,0,0,0,1,0
7,10,13,16,0,4,3,0,3,Basic,Married,SP,1,0,0,0,0,0,0,0,0
46,0,12,0,2,23,2,1,2,Graduation,Single,SP,1,1,0,0,0,0,0,1,0
34,0,7,0,0,0,1,0,3,Master,Married,IND,0,1,0,0,0,0,0,0,0
167,0,43,6,2,13,4,2,4,PhD,Together,SA,0,1,0,0,0,0,0,0,0
318,8,407,150,35,8,2,8,13,Graduation,Married,SA,0,0,0,0,0,0,0,0,0
522,0,257,32,16,66,2,2,8,Graduation,Married,SP,0,1,0,0,0,1,0,1,0
67,11,26,4,3,262,1,0,1,Master,Single,SP,0,0,0,0,0,0,0,0,0
28,0,4,0,0,0,1,0,3,Master,Together,SP,0,1,0,0,0,0,0,0,0
58,0,18,2,0,10,3,0,4,PhD,Single,SP,1,1,0,0,0,0,0,0,0
2,4,9,0,4,5,1,0,3,Master,Married,SP,1,0,0,0,0,0,0,0,0
229,7,140,10,3,11,5,1,8,Master,Divorced,AUS,1,1,0,0,0,0,0,1,0
14,0,16,0,0,6,1,1,2,Graduation,Together,SP,1,0,0,0,0,0,0,1,0
622,7,115,30,0,15,6,3,12,Master,Married,AUS,0,2,0,0,0,0,0,0,0
362,50,431,134,35,54,3,6,7,2n Cycle,Married,IND,0,0,0,0,0,0,0,0,0
38,4,22,3,3,3,3,0,3,PhD,Single,SP,1,1,0,0,0,0,0,1,0
38,4,22,3,3,3,3,0,3,PhD,Single,SP,1,1,0,0,0,0,0,0,0
1074,37,518,193,92,129,5,6,7,PhD,Married,CA,0,0,0,0,1,1,0,1,0
983,76,184,180,138,27,6,3,4,2n Cycle,Divorced,SA,0,1,0,0,1,0,0,0,0
262,6,61,0,10,102,5,2,6,Master,Married,SP,0,1,0,0,0,0,0,0,0
3,17,26,20,1,39,2,0,3,Graduation,Single,IND,1,0,0,0,0,0,0,1,0
739,107,309,140,80,35,2,5,13,Graduation,Married,SA,1,0,0,0,0,0,0,0,0
610,105,125,137,42,21,9,4,9,Graduation,Together,SP,0,0,0,0,0,0,0,0,0
50,4,28,6,3,26,3,1,2,Graduation,Widow,SA,1,1,0,0,0,0,0,1,0
1285,105,653,28,21,0,10,4,8,PhD,Together,SP,0,0,0,0,0,0,0,1,0
650,37,780,27,167,32,6,9,13,Master,Married,AUS,0,0,0,0,0,0,0,0,0
9,1,2,3,2,0,0,0,3,Graduation,Married,CA,0,0,0,0,0,0,0,0,0
458,81,356,106,50,40,4,4,7,Graduation,Together,SP,0,0,0,0,0,0,0,0,0
458,81,356,106,50,40,4,4,7,Graduation,Together,CA,0,0,0,0,0,0,0,0,0
292,6,37,0,3,34,6,1,6,Graduation,Single,GER,0,1,0,1,0,1,0,1,0
520,7,154,19,0,14,6,3,11,PhD,Together,SA,0,2,0,0,0,0,0,0,0
14,0,1,0,0,1,1,0,2,Graduation,Divorced,SP,2,1,0,0,0,0,0,0,0
3,4,7,15,8,11,1,0,3,2n Cycle,Single,SP,1,0,0,0,0,0,0,0,0
1,8,6,4,8,16,1,0,3,2n Cycle,Single,SP,0,0,0,0,0,0,0,0,0
20,3,16,0,4,1,2,0,4,Graduation,Married,AUS,1,1,0,0,0,0,0,0,0
345,53,528,98,75,97,8,3,5,PhD,Together,SP,0,0,1,0,0,0,0,1,0
22,1,11,0,1,2,1,0,3,Graduation,Married,SP,1,0,0,0,0,0,0,0,0
42,11,57,10,28,14,1,1,6,Graduation,Together,CA,0,1,0,0,0,0,0,0,0
463,96,333,168,53,10,7,7,12,PhD,Married,SP,0,1,0,0,0,0,0,0,0
4,1,7,2,1,2,1,0,3,Graduation,Single,SP,1,1,0,0,0,0,0,0,0
260,86,559,63,9,67,4,6,4,PhD,Together,US,0,0,0,0,0,0,0,0,0
180,32,348,76,32,90,5,2,12,Graduation,Married,GER,0,1,0,0,0,0,0,0,0
62,1,44,6,5,22,2,1,4,Master,Married,SP,0,1,0,0,0,0,0,0,0
